id,name,description,attr,attr_hq,category,convertable,craft,delivery,downgrades,dyeable,dyecount,elvl,equip,glamourous,icon,ilvl,jobCategories,jobs,models,patch,patchCategory,price,rarity,repair,repair_item,sell_price,slot,sockets,stackSize,tradeable,ingredients
1,Gil,Standard Eorzean currency.,,,63,,,,,,0,,,,65002,1,,,,1.0,5,0,1,,,,,,999999999,1,
2,Fire Shard,A tiny crystalline manifestation of aetheric fire energy.,,,59,,,,,,0,,,,20001,1,,,,1.0,5,9,1,,,,,,9999,1,
3,Ice Shard,A tiny crystalline manifestation of aetheric ice energy.,,,59,,,,,,0,,,,20003,1,,,,1.0,5,9,1,,,,,,9999,1,
4,Wind Shard,A tiny crystalline manifestation of aetheric wind energy.,,,59,,,,,,0,,,,20004,1,,,,1.0,5,9,1,,,,,,9999,1,
5,Earth Shard,A tiny crystalline manifestation of aetheric earth energy.,,,59,,,,,,0,,,,20006,1,,,,1.0,5,9,1,,,,,,9999,1,
6,Lightning Shard,A tiny crystalline manifestation of aetheric lightning energy.,,,59,,,,,,0,,,,20005,1,,,,1.0,5,9,1,,,,,,9999,1,
7,Water Shard,A tiny crystalline manifestation of aetheric water energy.,,,59,,,,,,0,,,,20002,1,,,,1.0,5,9,1,,,,,,9999,1,
8,Fire Crystal,A crystalline manifestation of aetheric fire energy.,,,59,,,,,,0,,,,20007,25,,,,1.0,5,229,1,,,,,,9999,1,
9,Ice Crystal,A crystalline manifestation of aetheric ice energy.,,,59,,,,,,0,,,,20009,25,,,,1.0,5,229,1,,,,,,9999,1,
10,Wind Crystal,A crystalline manifestation of aetheric wind energy.,,,59,,,,,,0,,,,20010,25,,,,1.0,5,229,1,,,,,,9999,1,
11,Earth Crystal,A crystalline manifestation of aetheric earth energy.,,,59,,,,,,0,,,,20012,25,,,,1.0,5,229,1,,,,,,9999,1,
12,Lightning Crystal,A crystalline manifestation of aetheric lightning energy.,,,59,,,,,,0,,,,20011,25,,,,1.0,5,229,1,,,,,,9999,1,
13,Water Crystal,A crystalline manifestation of aetheric water energy.,,,59,,,,,,0,,,,20008,25,,,,1.0,5,229,1,,,,,,9999,1,
14,Fire Cluster,A large crystalline manifestation of aetheric fire energy.,,,59,,,,,,0,,,,20013,50,,,,1.0,5,990,1,,,,,,9999,1,
15,Ice Cluster,A large crystalline manifestation of aetheric ice energy.,,,59,,,,,,0,,,,20015,50,,,,1.0,5,990,1,,,,,,9999,1,
16,Wind Cluster,A large crystalline manifestation of aetheric wind energy.,,,59,,,,,,0,,,,20016,50,,,,1.0,5,990,1,,,,,,9999,1,
17,Earth Cluster,A large crystalline manifestation of aetheric earth energy.,,,59,,,,,,0,,,,20018,50,,,,1.0,5,990,1,,,,,,9999,1,
18,Lightning Cluster,A large crystalline manifestation of aetheric lightning energy.,,,59,,,,,,0,,,,20017,50,,,,1.0,5,990,1,,,,,,9999,1,
19,Water Cluster,A large crystalline manifestation of aetheric water energy.,,,59,,,,,,0,,,,20014,50,,,,1.0,5,990,1,,,,,,9999,1,
20,Storm Seal,Grand Company currency printed and distributed by the Maelstrom.,,,63,,,,,,0,,,,65004,1,,,,1.0,5,1,1,,,,,,200000,1,
21,Serpent Seal,Grand Company currency printed and distributed by the Order of the Twin Adder.,,,63,,,,,,0,,,,65005,1,,,,1.0,5,1,1,,,,,,200000,1,
22,Flame Seal,Grand Company currency printed and distributed by the Immortal Flames.,,,63,,,,,,0,,,,65006,1,,,,1.0,5,1,1,,,,,,200000,1,
23,Allagan Tomestone of Philosophy,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.",,,63,,,,,,0,,,,65012,1,,,,1.0,5,1,1,,,,,,2000,1,
24,Allagan Tomestone of Mythology,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.",,,63,,,,,,0,,,,65013,1,,,,1.0,5,1,1,,,,,,2000,1,
25,Wolf Mark,Currency printed and distributed by the Alliance.,,,63,,,,,,0,,,,65014,55,,,,2.1,5,1,1,,,,,,20000,1,
26,Allagan Tomestone of Soldiery,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.",,,63,,,,,,0,,,,65022,1,,,,2.2,5,1,1,,,,,,2000,1,
27,Allied Seal,Yet another currency printed and distributed by the Eorzean Alliance. Rewarded for slaying marks specified in the Hunt.,,,63,,,,,,0,,,,65024,1,,,,2.3,5,1,1,,,,,,4000,1,
28,Allagan Tomestone of Poetics,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.",,,63,,,,,,0,,,,65023,1,,,,2.4,5,1,1,,,,,,2000,1,
29,MGP,Official currency of the Manderville Gold Saucer. Redeemable only on Manderville property.,,,63,,,,,,0,,,,65025,1,,,,2.51,5,1,1,,,,,,9999999,1,
30,Allagan Tomestone of Law,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.",,,63,,,,,,0,,,,65032,1,,,,3.0,5,2,1,,,,,,2000,1,
31,Allagan Tomestone of Esoterics,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.",,,63,,,,,,0,,,,65033,1,,,,3.05,5,2,1,,,,,,2000,1,
32,Allagan Tomestone of Lore,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.",,,63,,,,,,0,,,,65038,1,,,,3.2,5,2,1,,,,,,2000,1,
33,Allagan Tomestone of Scripture,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.",,,63,,,,,,0,,,,65041,1,,,,3.4,5,2,1,,,,,,2000,1,
34,Allagan Tomestone of Verity,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.",,,63,,,,,,0,,,,65045,1,,,,4.0,5,2,1,,,,,,2000,1,
35,Allagan Tomestone of Creation,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information gathered by the lost Allagan Empire.",,,63,,,,,,0,,,,65046,1,,,,4.05,5,2,1,,,,,,2000,1,
36,Allagan Tomestone of Mendacity,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on untruths gathered by the lost Allagan Empire.",,,63,,,,,,0,,,,65062,1,,,,4.2,5,2,1,,,,,,2000,1,
37,Allagan Tomestone of Genesis,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on creation gathered by the lost Allagan Empire.",,,63,,,,,,0,,,,65065,1,,,,4.4,5,2,1,,,,,,2000,1,
38,Allagan Tomestone of Goetia,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on demonology gathered by the lost Allagan Empire.",,,63,,,,,,0,,,,65066,1,,,,5.0,5,2,1,,,,,,2000,1,
39,Allagan Tomestone of Phantasmagoria,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on the fantastic gathered by the lost Allagan Empire.",,,63,,,,,,0,,,,65067,1,,,,5.05,5,2,1,,,,,,2000,1,
40,Allagan Tomestone of Allegory,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on allegories gathered by the lost Allagan Empire.",,,63,,,,,,0,,,,65075,1,,,,5.2,5,2,1,,,,,,2000,1,
41,Allagan Tomestone of Revelation,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on allegories gathered by the lost Allagan Empire.",,,63,,,,,,0,,,,65083,1,,,,5.4,5,2,1,,,,,,2000,1,
42,Allagan Tomestone of Aphorism,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable principles gathered by the lost Allagan Empire.",,,63,,,,,,0,,,,65085,1,,,,6.0,5,2,1,,,,,,2000,1,
43,Allagan Tomestone of Astronomy,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on the sea of stars gathered by the lost Allagan Empire.",,,63,,,,,,0,,,,t/65086,1,,,,6.05,5,2,1,,,,,,2000,1,
44,Allagan Tomestone of Causality,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on the nature of cause and effect gathered by the lost Allagan Empire.",,,63,,,,,,0,,,,t/65094,1,,,,6.2,5,2,1,,,,,,2000,1,
45,Allagan Tomestone of Comedy,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of uplifting narrative poetry gathered by the lost Allagan Empire.",,,63,,,,,,0,,,,t/65103,1,,,,6.4,5,2,1,,,,,,2000,1,
46,Allagan Tomestone of Aesthetics,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on the nature of beauty gathered by the lost Allagan Empire.",,,63,,,,,,0,,,,t/65107,1,,,,7.0,5,2,1,,,,,,2000,1,
47,Allagan Tomestone of Heliometry,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable information on solar measurements gathered by the lost Allagan Empire.",,,63,,,,,,0,,,,t/65108,1,,,,7.05,5,2,1,,,,,,2000,1,
48,Allagan Tomestone of Mathematics,"Though they appear to be naught more than simple stones, Garlond Ironworks engineers insist they contain reams of invaluable numerical calculations gathered by the lost Allagan Empire.",,,63,,,,,,0,,,,t/65122,1,,,,7.2,5,2,1,,,,,,2000,1,
49,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
